# {"env_id": "HopperBulletEnv-v0", "t_start": 1587161614.5459487} 
r,l,t
17.706691,7,13.993993
15.493967,5,14.000865
14.575245,6,14.008894
17.682278,9,14.020538
18.025559,7,14.02959
15.645572,5,14.036171
11.645603,5,14.04289
19.126161,10,14.055715
19.940392,7,14.06487
14.149746,8,14.075163
17.028154,8,14.085458
13.254983,8,14.095745
18.150926,7,14.10494
19.918004,11,14.119034
21.115091,8,14.129581
15.869613,5,14.136253
15.777273,5,14.142835
17.91102,8,14.153112
14.87837,7,14.162121
12.703936,8,14.172182
16.198315,8,14.182508
17.297218,7,14.191505
13.332015,8,14.201765
19.21077,6,14.209904
16.317586,8,14.220469
19.045578,10,14.233359
10.350384,12,14.248306
12.507053,4,14.253751
18.314811,10,14.266305
11.990773,5,14.272946
15.203458,7,14.282028
14.680832,5,14.288776
16.371413,10,14.301597
14.29825,7,14.310768
15.188766,6,14.318587
14.767434,6,14.3264
15.804446,6,14.334215
19.923567,6,14.342372
16.496298,6,14.350164
19.247946,8,14.360677
17.106185,9,14.372475
10.571559,16,14.392516
15.350462,7,14.401524
12.082549,6,14.409325
18.686438,7,14.418388
17.339847,6,14.42623
16.185368,8,14.436885
13.282377,7,14.445926
19.603517,8,14.456113
17.198023,8,14.466388
17.20662,6,14.474284
17.362366,6,14.48213
11.857209,11,14.495962
16.342292,9,14.507413
17.894918,9,14.518976
19.048645,8,14.529353
15.857303,6,14.537261
16.618109,7,14.546366
17.64289,10,14.559377
19.223194,6,14.567272
15.165616,11,14.58136
18.94782,8,14.591662
17.641656,9,14.603376
18.161101,6,14.613437
16.868778,6,14.621948
16.10976,9,14.633436
15.621826,6,14.641438
15.985157,5,14.648171
14.889968,5,14.65481
16.085638,13,14.671442
12.955442,5,14.678352
18.017832,6,14.68644
24.789614,17,14.707975
17.293105,7,14.717057
11.718218,9,14.728628
16.825222,11,14.74255
18.6363,10,14.755244
17.672083,5,14.761945
15.268826,11,14.775864
17.018457,5,14.782482
15.823993,8,14.792709
19.965551,9,14.804145
15.939947,5,14.810817
16.130798,6,14.818674
17.376994,7,14.827747
16.982355,7,14.836888
15.709973,8,14.847553
15.515099,5,14.854298
19.090482,6,14.862136
15.504545,9,14.873463
18.045891,6,14.881263
12.850385,6,14.889088
15.926451,11,14.902929
17.149078,6,14.910792
17.857286,9,14.922273
13.435454,10,14.935063
18.326359,10,14.947796
16.537303,6,14.955691
11.65711,6,14.96355
15.688162,6,14.971314
14.377213,10,14.984187
22.93689,21,15.010406
17.040345,6,15.018689
16.936776,7,15.027788
15.14265,6,15.035577
22.498719,10,15.048592
14.37243,7,15.057626
15.161776,6,15.065651
15.885228,9,15.077198
16.358784,6,15.085169
20.18112,10,15.09805
18.944132,8,15.108586
14.807512,14,15.12626
16.176499,6,15.134331
13.513853,12,15.149912
16.759344,7,15.15913
18.548561,6,15.167039
15.225075,5,15.173959
20.025702,8,15.184371
18.60542,6,15.192353
15.752483,6,15.200942
17.821832,9,15.212698
18.616986,13,15.229784
19.094773,7,15.244261
